wall_clock,elapsed_s,attention,smoothed_attention,meditation,poor_signal,blink_strength,blink_event,quality_ok,connected,command,reason
,0.000,29,,71,0,,,,1,,generated
,1.000,29,,68,0,,,,1,,generated
,2.000,27,,66,0,,,,1,,generated
,3.000,33,,65,0,,,,1,,generated
,4.000,33,,61,0,,,,1,,generated
,5.000,46,,56,0,,,,1,,generated
,6.000,40,,53,0,,,,1,,generated
,7.000,46,,47,0,,,,1,,generated
,8.000,39,,36,0,,,,1,,generated
,9.000,42,,35,0,,,,1,,generated
,10.000,72,,33,0,,,,1,,generated
,11.000,73,,29,0,,,,1,,generated
,12.000,72,,31,0,,,,1,,generated
,13.000,70,,35,0,,,,1,,generated
,14.000,73,,34,0,,,,1,,generated
,15.000,70,,31,0,,,,1,,generated
,16.000,70,,31,0,190,,,1,,generated
,16.000,70,,36,0,,,,1,,generated
,17.000,73,,42,0,,,,1,,generated
,18.000,70,,43,0,,,,1,,generated
,19.000,70,,54,0,,,,1,,generated
,20.000,69,,56,0,,,,1,,generated
,21.000,73,,56,0,,,,1,,generated
,22.000,78,,68,0,,,,1,,generated
,23.000,71,,66,0,,,,1,,generated
,24.000,77,,66,0,,,,1,,generated
,25.000,79,,69,0,,,,1,,generated
,26.000,79,,69,0,190,,,1,,generated
,26.000,73,,71,0,,,,1,,generated
,27.000,80,,70,0,,,,1,,generated
,28.000,82,,65,0,,,,1,,generated
,29.000,78,,56,0,,,,1,,generated
,30.000,36,,54,0,,,,1,,generated
,31.000,33,,47,0,,,,1,,generated
,32.000,32,,44,0,,,,1,,generated
,33.000,38,,35,0,,,,1,,generated
,34.000,30,,37,0,,,,1,,generated
,35.000,39,,35,0,,,,1,,generated
,36.000,29,,23,0,,,,1,,generated
,37.000,36,,27,0,,,,1,,generated
,38.000,66,,33,0,,,,1,,generated
,39.000,73,,31,0,,,,1,,generated
,40.000,70,,35,0,,,,1,,generated
,41.000,74,,39,0,,,,1,,generated
,42.000,71,,43,0,,,,1,,generated
,43.000,65,,50,0,,,,1,,generated
,44.000,65,,50,0,190,,,1,,generated
,44.000,72,,52,0,,,,1,,generated
,45.000,64,,54,0,,,,1,,generated
,46.000,72,,55,0,,,,1,,generated
,47.000,69,,67,0,,,,1,,generated
,48.000,66,,72,0,,,,1,,generated
,49.000,71,,68,0,,,,1,,generated
,50.000,30,,71,0,,,,1,,generated
,51.000,30,,72,0,,,,1,,generated
,52.000,28,,66,0,,,,1,,generated
,53.000,33,,64,0,,,,1,,generated
,54.000,27,,63,0,,,,1,,generated
,55.000,34,,54,0,,,,1,,generated
,56.000,25,,50,0,,,,1,,generated
,57.000,29,,45,0,,,,1,,generated
,58.000,34,,38,0,,,,1,,generated
,59.000,33,,33,0,,,,1,,generated
,60.000,27,,35,0,,,,1,,generated
,61.000,33,,33,0,,,,1,,generated
,62.000,31,,30,0,,,,1,,generated
,63.000,30,,31,0,,,,1,,generated
,64.000,29,,32,0,,,,1,,generated
,65.000,31,,33,0,,,,1,,generated
,66.000,32,,38,0,,,,1,,generated
,67.000,36,,42,0,,,,1,,generated
,68.000,28,,45,0,,,,1,,generated
,69.000,29,,54,0,,,,1,,generated
,70.000,28,,57,0,,,,1,,generated
,71.000,35,,53,0,,,,1,,generated
,72.000,26,,65,0,,,,1,,generated
,73.000,31,,68,0,,,,1,,generated
,74.000,28,,71,0,,,,1,,generated
,75.000,30,,68,0,,,,1,,generated
,76.000,37,,70,0,,,,1,,generated
,77.000,28,,67,0,,,,1,,generated
,78.000,29,,64,0,,,,1,,generated
,79.000,21,,59,0,,,,1,,generated
,80.000,33,,52,0,,,,1,,generated
,81.000,29,,54,0,,,,1,,generated
,82.000,32,,50,0,,,,1,,generated
,83.000,24,,40,0,,,,1,,generated
,84.000,28,,39,0,,,,1,,generated
,85.000,33,,25,0,,,,1,,generated
,86.000,33,,27,0,,,,1,,generated
,87.000,32,,25,0,,,,1,,generated
,88.000,30,,33,0,,,,1,,generated
,89.000,29,,31,0,,,,1,,generated
